英単語,意味,発音記号
put,"《副詞[句]を伴って》(ある場所・位置に)…‘を’『置く』,載せる,すえる,付ける / 《状態を表す副詞[句]を伴って》(ある状態に)…‘を’『置く』,する;〈人・動物〉‘に'(…)させる / (仕事・任務などに)〈人・動物〉‘を’『向ける』,つける;(用途・目的などに)〈物事〉‘を’向ける,用いる《+『名』+『to』+『名』》 / (苦痛・試練などを)〈人〉‘に’受けさせる《+『名』〈人〉+『to』+『名』》 / (人・物に)〈税・負担など〉‘を’課す,負わせる《+『名』+『on』+『名』(a person’s do『inn』)》 / (人・事に)〈責任など〉‘を’かぶせる,負わせる《+『名』+『on』(『upon』)+『名』》;(責任などを)〈人・事〉‘に’かぶせる《+『名』+『to』+『名』》 / (物事に)〈解釈・価値など〉‘を’『与える』,(物に)〈価格など〉‘を’付ける《+『名』+『on』(『upon』)+『名』》 / …‘を’評価する,見積もる,みなす / (…に)〈考えなど〉‘を’『表現する』,述べる《+『名』+『into』+『名』》;〈文字・印など〉‘を’書き付ける,記入する《+『名』+『on』+『名』》 / (…に)…‘を’翻訳する《+『名』+『into』+『名』》 / (…に)〈問題・質問など〉‘を’提出する,提起する《+『名』+『to』(『before』)+『名』》 / (物事に)〈終止・制限など〉‘を’与える《+『名』+『to』+『名』》 / 〈船などが〉進む,行く,向かう / 《話》急いで立ち去る;逃げ出す / (砲丸などの)投げ,投てき;投てき距離 / 突き,押し / 落ち着いた,動かないで",pút
night,"〈C〉〈U〉『夜』,晩,夜間 / 〈U〉(夜の)暗やみ,夜蔭 / 〈U〉《文》(精神的に)まっ暗な状態(時),やみ / 〈C〉(特定の行事・目的に当てられる)晩,夜 / 『夜の』,夜間[用]の;夜勤の;夜行[性]の",náit
each,"『おのおのの』,『めいめいの』,各… / 『各自』,おのおの,めいめい / めいめい[に],それぞれ",í:ʧ
king,"『王』,国王 / 王にたとえられる人(物),…王,大立て者 / (カードの)キング / (チェスの)キング,王将",kíŋ
between,"《場所・空間》…『の間に』 / 《時間・期間》…『の間に』 / 《数量・程度・内容など》…の間に,の中間に / 《分配》…『の間で』 / 《区別・選択》…『の間で』,のいずれかを / 《関係》…『の間に』 / 《協力・共有》…と協力して,の間で / 《理由》…やら…やらで / 《場所・位置》『間に』,中間に / 《時》間に",bitwí:n
tell,"…‘を’『話す』,語る,言う;〈人〉‘に’話す / 《tell+名〈人〉+to do》(…するように)〈人〉‘に’命じる / …‘を’『見分ける,』識別する / …‘が’分かる,‘を’知る / …‘を’『表す』 / 《古》…‘の’数を勘定する,‘を’数える　語る　(…を)『物語る,』示す《+of+名》 / (人のことを)『告げ口する,』密告する《+on+名》 / 《can, be able to などを伴う否定文・疑問文で用いて》(…について)『分かる,』知る《+about+名》 / (…に)力を発揮する,効きめがある,影響する《+on(against)+名》",tél
mind,"〈U〉(思考・知覚・意志などをつかさどる)『心』,精神 / 〈C〉《単数形で》(心の働きによって生じた)『知性』,理性,理解力 / 〈U〉正常な精神状態,正気 / 〈C〉意見,考え方,物の見方 / 〈U〉記憶,回想 / 《one’s~》注意,精神の集中 / 〈C〉《単数形で》願い,意向 / 〈C〉《前に形容詞を伴って》(…を備えた)人 / 《しばしば命令文で》…‘に’『注意する』,用心する / …‘の’番をする,世話をする(look after) / 〈人,助言など〉‘の’言うことを聞く,‘に’従う / 《否定・疑問・条件文で》…‘を’『気にする』,『気にかける』,いやだと思う / 《疑問文・否定文で》気にする,心配する,いやに思う",máind
heart,"〈C〉『心臓』;胸 / 〈C〉(感情の中心をなす)『心』,気持ち / 〈U〉愛情,同情 / 〈U〉『勇気』,元気,熱意 / 《the ~》『中心』,内部,(物事の)本質,核心 / 〈C〉ハート形の物;(カードの)ハートの札",hɑ’:rt
few,"《aをつけて肯定的に》『少しはある』,多少の,いくつかの / 《aをつけないで否定的に》『ほとんどない』,少数(少し)しかない / 《aをつけて背定的に》(…の)『少数の人』(『物』)《+『of』+『名』〈複数〉》 / 《aをつけないで否定的に》(…の)少数の人(物)[しかない]《+『of』+『名』〈複数形〉》 / 《the~》少数の人たち,選ばれた人たち",fjú:
because,"(なぜならば)『…だから』,『…ゆえに』 / 《否定文の主節とともに用い》…『であるからといって』 / 《おもに話》《名詞節を導いて》…ということ",bikɔ’:z
thing,"〈C〉(形のある)『物』,物体;(生物に対しての)『無生物』 / 〈C〉(形のない)『もの』,事,事柄,でき事 / 《複数形で》事情,事態,状勢,状況 / 《複数形で》(すべての)事物,事柄 / 《通例 the~》(努力・活動などの)目的,目標 / 〈C〉衣服,衣類・《one’s things》持ち物,所持品,身の回り品 / 《複数形で》道具,用具・〈C〉《親愛・哀れみ・軽べつなどの感情をこめて》人,者,やつ / 《the~》《話》(…の)流行《+in+名》",θíŋ
whom,"《疑問代名詞》『だれを(に)』,どんな人を(に) / 《関係代名詞》 / 《制限用法》(…する,…した)『ところの』 / 《非制限用法》『そしてその人を(に)』",hú:m
far,"《距離》『遠くに』,遠くへ,はるかに / 《時間》『ずっと後まで(に),ずっと先まで(に)』 / 《程度》《形容詞・副詞[句],およびその比較級を修飾して》『ずっと』,はるかに(much),たいそう / 《おもに文・詩》(場所が)『遠くにある』,遠い / (二つのうち)『遠いほうの』,向こう側の / 長距離(長時間)にわたる / (政治的に)極端な",fɑ’:r
whole,"《the ~,one’s ~ の形で名詞の前に用いて》『全体の』,全部の,全… / 《名詞の前にのみ用いて》(時間・距離などが)『まる』…,満… / (物が)完全な,欠けていない;《名詞の後に置いて》丸ごとで,ひとかたまりに / 《冠詞をつけずに複数名詞の前に用いて》ひじょうに多くの / 《古》(人が)無傷の,(肉体的に)健康な / 整数の,分数を含まない / 〈U〉《the ~》(…の)『全部』,全体,全量《+of+名》 / 〈C〉完全なもの,統一体",hóul
set,"《場所を表す副詞[句]を伴って》(ある場所に)…‘を’『置く』・すえる・(ある物に)…‘を’『つける』・あてがう・当てる《+『名』+『to』+『名』》・(課題・模範として)…‘を’『課す』・出す・示す・〈宝石〉‘を'(…に)『はめ込む』《+『名』〈宝石〉+『in』+『名』》;(宝石で)…‘を’飾る《+『名』+『with』+『名』〈宝石〉》》 / …‘を’『向ける』,集中する・(…に)…‘を’『配置する』,部署につける・《+『名』+『at(around, on)』+『名』》・《『set』+『名』+『to』 do》・(仕事・課題として)〈人〉’に'(…)させる・(ある状態に)…‘を’『する』・〈機械・器具など〉‘を’『調節する』・〈時計・目盛りなど〉‘を’合わせる・〈日時・制限など〉‘を’『定める』・(…に)〈値段〉‘を’『つける』・〈評価〉‘を’与える《+『名』〈値〉+『on(for)』+『名』》・〈めん鳥〉‘に’卵を抱かせる・(卵を)〈めん鳥〉‘に’抱かせる《+『名』〈めん鳥〉+『on』+『名』〈卵〉》・〈卵〉‘を’めん鳥に抱かせる;(めん鳥に)〈卵〉‘を’卵かせる《+『名』〈卵〉+『under』+『名』〈めん鳥〉》・ / …‘を’固まらせる・固定する・…‘を’確立する,打ち立てる・〈髪〉‘を’セットする・(曲に)〈歌詞〉‘を’つける《+『名』〈歌詞〉+『to』+『名』〈曲〉》・(…用に)〈曲〉‘を’編曲する《+『名』〈曲〉+『for』+『名』》・〈活字〉‘を’組む・〈原稿〉‘を’活字に組む《+『up』+『名』》・〈刃物[の刃]〉‘を’とぐ・〈舞台・場面〉‘を’セットする・〈帆〉‘を’張る・〈猟犬が〉〈獲物〉‘の’位置を示す・〈太陽などが〉『沈む』,没する;傾く,衰える・固まる・固くなる・こわばる・硬直する・〈めん鳥が〉卵を抱く・《副詞[句]を伴って》〈髪が〉セットできる・《副詞[句]を伴って》(…に)〈服などが〉合う《+『on』+『名』》・〈果実などが〉実る・,実を結ぶ・《方向を表す副詞[句]を伴って》(ある方向に)向く・向かう・(ある方向から)吹く・流れる・〈猟犬が〉獲物の位置を示す・〈C〉(…の)『一組』,一式,セット《+『of』+『名』》・〈C〉『一群』・一連(の…)《+『of』+『名』》・〈C〉(…の)『仲間』,連中,一味,(特殊な)社会《+『of』+『名』》・〈C〉(テニスなどの)セット・〈C〉舞台装置・(映画などの)セット・〈U〉(…の)様子・格好・姿勢・(服などの)合いぐあい《+『of』+『名』》・〈U〉(風・潮などの)向き・方向・(考え・世論などの)傾向・すう勢《+『of』+『名』》・〈U〉《詩》日没・〈C〉さし木・若木・苗・〈C〉(ラジオの)受信機・(テレビの)受像機・〈C〉(数学で)集合・『定められた』・規定の・所定の・型にはまった・慣習的な・硬直した・こわばった・動かない・断固たる・固く決心した・《補語にのみ用いて》準備の完了した・用意して",sét
both,"『両方の』,双方の / 『両方』,両者 / 《『both』…『and』…の形で》『両方とも』,…のいずれも",bóuθ
got,getの過去・過去分詞,gɑ’t
find,"(偶然に)…‘を’『見つける』(進行形にできない) / …‘を’『見つけだす』,捜しだす(進行形にできない) / 〈今まで知られていない事・物〉‘が’『分かる』,知る,気がつく《+『名』+『out,』+『out』+名》 / 《しばしば受動態で》…‘が’存在することを知る / …‘に’届く,達する / 〈評決・判決〉‘を’下す,裁定する / …‘を’支給する;(…を)…‘に’支給する,供給する(provide)《+『名』+『in』+『名』》 / (特に,貴重な)発見物,掘出し物",fáind
done,"doの過去分詞 / 仕上がった,完成した / 「(食べ物が)焼けた」の意を表す",dʌn
